date,lat,latd,long,longd,depth,mag
2017-02-20 03:42:00,18.32,N,101.1,W,58.0,3.6
2017-02-20 03:39:00,17.65,S,69.59,W,161.0,4.1
2017-02-20 03:27:00,39.49,N,26.11,E,13.0,2.0
2017-02-20 03:19:00,16.44,N,98.41,W,2.0,3.5
2017-02-20 03:17:00,39.55,N,26.19,E,3.0,2.1
2017-02-20 03:13:00,42.5,N,13.26,E,11.0,4.0
2017-02-20 03:05:00,30.79,N,56.58,E,5.0,3.5
2017-02-20 03:03:00,38.62,N,39.62,E,8.0,2.0
2017-02-20 02:57:00,43.01,N,13.03,E,8.0,2.5
2017-02-20 02:55:00,22.68,S,70.46,W,37.0,3.4
2017-02-20 02:46:00,37.53,N,42.75,E,7.0,2.3
2017-02-20 02:42:00,16.31,N,98.38,W,11.0,4.0
2017-02-20 02:34:00,18.86,N,68.66,W,89.0,3.4
2017-02-20 02:23:00,37.52,S,74.01,W,35.0,3.7
2017-02-20 02:20:00,6.75,N,73.15,W,148.0,3.6
2017-02-20 02:18:00,39.66,N,25.99,E,8.0,2.0
2017-02-20 02:12:00,39.5,N,26.26,E,6.0,2.2
2017-02-20 01:28:00,17.31,N,100.8,W,41.0,4.0
2017-02-20 01:24:00,47.96,N,1.36,W,2.0,2.3
2017-02-20 01:16:00,42.74,S,172.8,E,37.0,4.5
2017-02-20 00:46:00,37.57,N,42.78,E,19.0,2.0
2017-02-20 00:34:00,30.23,S,71.88,W,27.0,3.1
2017-02-20 00:08:00,37.59,S,73.65,W,41.0,3.5
2017-02-19 23:39:00,39.56,N,26.09,E,5.0,2.2
2017-02-19 23:23:00,39.55,N,26.13,E,8.0,2.0
2017-02-19 23:15:00,5.51,S,145.4,E,80.0,4.4
2017-02-19 22:58:00,37.89,N,22.6,E,2.0,3.7
2017-02-19 22:43:00,42.43,N,1.28,E,2.0,2.7
2017-02-19 22:34:00,42.36,N,1.43,E,2.0,2.6
2017-02-19 22:23:00,39.52,N,26.04,E,6.0,2.0
2017-02-19 22:17:00,59.75,N,153.1,W,104.0,3.8
2017-02-19 22:10:00,37.59,S,73.73,W,32.0,4.0
2017-02-19 22:08:00,3.7,N,74.04,W,12.0,2.3
2017-02-19 21:59:00,39.5,N,26.06,E,5.0,2.0
2017-02-19 21:56:00,39.8,N,42.52,E,9.0,2.1
2017-02-19 21:53:00,6.54,N,75.23,W,4.0,2.4
2017-02-19 21:07:00,39.55,N,26.07,E,8.0,2.0
2017-02-19 21:06:00,37.46,S,74.24,W,20.0,4.1
2017-02-19 21:00:00,37.08,N,114.0,W,12.0,2.3
2017-02-19 20:58:00,37.08,N,114.0,W,15.0,2.7
2017-02-19 20:32:00,39.56,N,26.21,E,6.0,2.5
2017-02-19 20:28:00,38.83,N,122.8,W,1.0,2.1
2017-02-19 19:48:00,42.79,N,13.23,E,9.0,2.8
2017-02-19 19:27:00,47.39,N,122.6,W,8.0,2.7
2017-02-19 19:26:00,39.57,N,26.13,E,8.0,2.0
2017-02-19 19:23:00,39.61,N,34.36,E,11.0,2.2
2017-02-19 19:19:00,37.51,N,42.68,E,2.0,3.5
2017-02-19 19:17:00,42.4,N,1.58,E,2.0,2.8
2017-02-19 19:10:00,6.54,S,152.4,E,40.0,4.9
2017-02-19 19:09:00,21.02,S,68.92,W,110.0,3.0
2017-02-19 19:07:00,37.52,S,73.77,W,10.0,4.8
2017-02-19 19:03:00,38.72,N,27.61,E,8.0,2.2
2017-02-19 19:01:00,34.99,S,70.94,W,99.0,3.1
2017-02-19 18:57:00,39.59,N,34.35,E,13.0,3.3
2017-02-19 18:48:00,22.53,S,69.08,W,96.0,3.8
2017-02-19 18:31:00,41.81,N,43.12,E,2.0,2.8
2017-02-19 18:10:00,50.38,N,157.0,E,90.0,4.1
2017-02-19 18:00:00,37.54,N,42.74,E,19.0,2.5
2017-02-19 17:53:00,37.54,N,42.71,E,2.0,3.1
2017-02-19 17:36:00,37.53,N,42.69,E,2.0,3.8
